Time [s];Mass² [g²];;;;
0;0,000507755;;;;
1,367994;0,000591439;;;;
2,671035;0,000660039;;;;
3,979004;0,000744642;;;;
5,285011;0,000775421;;;;
6,833009;0,000861113;;;;
8,138013;0,000902606;;;;
9,445993;0,000950992;;;;
10,752038;0,00099737;;;;
12,059998;0,001058563;;;;
13,365994;0,001111074;;;;
14,671007;0,001168795;;;;
15,976999;0,001208373;;;;
17,284999;0,001194743;;;;
18,590996;0,001159582;;;;
19,896008;0,001213276;;;;
21,202001;0,00131865;;;;
22,509995;0,001396156;;;;
24,058003;0,001521769;;;;
25,383997;0,001557069;;;;
26,709015;0,00156314;;;;
28,015001;0,001593402;;;;
29,321005;0,001622882;;;;
30,869;0,001733683;;;;
32,175998;0,001750134;;;;
33,482009;0,001804011;;;;
34,788003;0,001854205;;;;
36,336001;0,001906464;;;;
37,642006;0,001967047;;;;
38,947002;0,001753557;;;;
40,254999;0,00167373;;;;
41,580999;0,001966435;;;;
42,887025;0,002168316;;;;
44,192002;0,002211339;;;;
45,5;0,002201619;;;;
47,068003;0,002147031;;;;
48,374004;0,002256611;;;;
49,680004;0,002298513;;;;
50,985002;0,002367432;;;;
52,535003;0,002410733;;;;
53,839005;0,002443405;;;;
55,147024;0,002492015;;;;
56,452004;0,002524142;;;;
57,758009;0,00255045;;;;
59,326003;0,002604129;;;;
60,632008;0,002672561;;;;
61,939002;0,002710546;;;;
63,245002;0,002732446;;;;
64,793002;0,002751745;;;;
66,099001;0,002781081;;;;
67,405006;0,002847314;;;;
68,730009;0,0028862;;;;
70,038003;0,002923644;;;;
71,604011;0,002966157;;;;
72,912007;0,002996989;;;;
74,217005;0,003016875;;;;
75,543007;0,003075505;;;;
77,093004;0,003138231;;;;
78,417015;0,003172995;;;;
79,745005;0,003181326;;;;
81,312005;0,003236871;;;;
82,638004;0,003279394;;;;
83,944009;0,003327423;;;;
85,250063;0,003353223;;;;
86,57701;0,003393975;;;;
87,883008;0,003423432;;;;
89,189008;0,003483775;;;;
90,49504;0,003512451;;;;
91,802005;0,003541537;;;;
93,370015;0,003577754;;;;
94,676008;0,003610542;;;;
95,982013;0,003689365;;;;
97,288012;0,003737766;;;;
98,595018;0,003773941;;;;
99,901013;0,003789576;;;;
101,207012;0,003830268;;;;
102,513018;0,003864742;;;;
103,84001;0,003908483;;;;
105,388006;0,003932485;;;;
106,694009;0,003921185;;;;
108,000005;0,003953276;;;;
109,306038;0,004067349;;;;
110,61101;0,004115316;;;;
111,919007;0,004119805;;;;
113,22501;0,004145462;;;;
114,531011;0,004179539;;;;
115,836014;0,00422086;;;;
117,386009;0,00430424;;;;
118,690013;0,004320288;;;;
119,998007;0,004344157;;;;
121,304011;0,004361776;;;;
