Time [s];Mass² [g²];;;;
0;6,81934E-07;;;;
1,006048;4,33254E-05;;;;
2,051;0,000205213;;;;
3,096986;0,000239544;;;;
4,141004;0,000234568;;;;
5,186987;0,000211528;;;;
6,231002;0,000198826;;;;
7,27699;0,000186315;;;;
8,321987;0,000180404;;;;
9,366027;0,000160247;;;;
10,411989;0,000152594;;;;
11,456003;0,000142623;;;;
12,501994;0,000137653;;;;
13,547989;0,000135133;;;;
14,591001;0,000130297;;;;
15,636988;0,00012414;;;;
16,681037;0,000120597;;;;
17,726992;0,000114729;;;;
18,772993;0,00011065;;;;
19,816998;0,000105285;;;;
20,861988;0,000100013;;;;
21,906004;9,7633E-05;;;;
22,951993;9,21145E-05;;;;
23,997991;8,91314E-05;;;;
25,041991;8,51304E-05;;;;
26,086989;8,09727E-05;;;;
27,131036;7,90161E-05;;;;
28,176994;7,57826E-05;;;;
29,222993;7,40257E-05;;;;
30,266994;7,20216E-05;;;;
31,31299;6,9026E-05;;;;
32,356004;6,63426E-05;;;;
33,401993;6,37518E-05;;;;
34,448042;6,26628E-05;;;;
35,491993;6,09584E-05;;;;
36,538022;6,102E-05;;;;
37,581994;5,89064E-05;;;;
38,626997;5,73139E-05;;;;
39,67299;5,56402E-05;;;;
40,716996;5,482E-05;;;;
41,762991;5,22177E-05;;;;
42,806998;5,1148E-05;;;;
43,852991;4,93874E-05;;;;
44,89802;4,84912E-05;;;;
45,941996;4,87661E-05;;;;
47,007993;4,92213E-05;;;;
48,051998;4,65015E-05;;;;
49,097996;4,36698E-05;;;;
50,142992;4,17572E-05;;;;
51,186997;4,01492E-05;;;;
52,232992;3,89654E-05;;;;
53,277;3,87934E-05;;;;
54,322993;3,831E-05;;;;
55,368991;3,7485E-05;;;;
56,411997;3,70159E-05;;;;
57,457998;3,64663E-05;;;;
58,501996;3,62287E-05;;;;
59,547996;3,4732E-05;;;;
60,593992;3,37632E-05;;;;
61,638002;3,31362E-05;;;;
62,683009;3,23805E-05;;;;
63,726999;3,17388E-05;;;;
64,773003;3,07146E-05;;;;
65,818993;2,97556E-05;;;;
66,862998;2,78415E-05;;;;
67,908994;2,56256E-05;;;;
68,952;2,62883E-05;;;;
69,997993;2,73858E-05;;;;
71,041999;2,70875E-05;;;;
72,08802;2,61672E-05;;;;
73,073995;2,53768E-05;;;;
74,116999;2,47404E-05;;;;
75,162997;2,46425E-05;;;;
76,207021;2,50847E-05;;;;
77,252995;2,42915E-05;;;;
78,298994;2,27528E-05;;;;
79,343001;2,20532E-05;;;;
80,387995;2,10649E-05;;;;
81,432004;2,03653E-05;;;;
82,478;2,02631E-05;;;;
83,521999;1,99494E-05;;;;
84,568001;1,94856E-05;;;;
85,614001;1,87062E-05;;;;
86,65701;1,82445E-05;;;;
87,702997;1,7631E-05;;;;
88,768996;1,68051E-05;;;;
89,813003;1,64115E-05;;;;
90,859002;1,60582E-05;;;;
91,903002;1,57008E-05;;;;
92,947998;1,51513E-05;;;;
93,993997;1,49525E-05;;;;
95,058001;1,45062E-05;;;;
96,104001;1,41667E-05;;;;
97,148004;1,41518E-05;;;;
