Time [s];Mass² [g²];;;;
0;0,000112064;;;;
1,027959;0,001175407;;;;
2,090963;0,001184682;;;;
3,154956;0,000871671;;;;
4,22096;0,000583509;;;;
5,286981;0,000466782;;;;
6,350964;0,000381933;;;;
7,415964;0,000356619;;;;
8,48197;0,00034289;;;;
9,545968;0,000324885;;;;
10,611965;0,000313076;;;;
11,67597;0,00029872;;;;
12,742012;0,000283323;;;;
13,806966;0,000278401;;;;
14,870967;0,000270305;;;;
15,936972;0,000275973;;;;
17,002957;0,000276382;;;;
18,066982;0,000262601;;;;
19,132961;0,000270662;;;;
20,197964;0,000277974;;;;
21,26197;0,000276268;;;;
22,327958;0,00025342;;;;
23,394044;0,000244157;;;;
24,45796;0,000257563;;;;
25,462962;0,000264376;;;;
26,526968;0,000262361;;;;
27,592961;0,000245776;;;;
28,658962;0,000234538;;;;
29,722961;0,000227394;;;;
30,788959;0,000226889;;;;
31,853957;0,000224742;;;;
32,917962;0,000217547;;;;
33,983994;0,000204197;;;;
35,049958;0,000191693;;;;
36,113961;0,000183755;;;;
37,179958;0,000182195;;;;
38,182964;0,000181279;;;;
39,18896;0,000179122;;;;
40,254957;0,00017656;;;;
41,318964;0,00016974;;;;
42,384957;0,000171116;;;;
43,447967;0,000171013;;;;
44,513963;0,000170305;;;;
45,579959;0,000170228;;;;
46,643966;0,000170936;;;;
47,709965;0,000174731;;;;
48,775969;0,000170897;;;;
49,838962;0,000167182;;;;
50,844956;0,000161697;;;;
51,848963;0,000158729;;;;
52,854957;0,000152874;;;;
53,858969;0,000156465;;;;
54,865981;0,000168292;;;;
55,867966;0,000163016;;;;
56,933961;0,000155198;;;;
57,999958;0,000149385;;;;
59,064171;0,000147249;;;;
60,12996;0,000145508;;;;
61,195974;0,000145295;;;;
62,258965;0,000144074;;;;
63,32496;0,000144938;;;;
64,388973;0,000145961;;;;
65,454964;0,000147034;;;;
66,520972;0,00014254;;;;
67,583973;0,000137908;;;;
68,649975;0,00013317;;;;
69,715975;0,000129825;;;;
70,779965;0,000125803;;;;
71,845982;0,000124184;;;;
72,911973;0,000124865;;;;
73,974963;0,000122858;;;;
75,040973;0,00011983;;;;
76,106971;0,000120976;;;;
77,170974;0,000122815;;;;
78,176969;0,000126301;;;;
79,240983;0,000133682;;;;
80,305977;0,00013503;;;;
81,37198;0,000117543;;;;
82,435979;0,000119227;;;;
83,421984;0,000114666;;;;
84,425979;0,000111866;;;;
85,490995;0,000114191;;;;
86,556974;0,000116775;;;;
87,62098;0,000120565;;;;
88,686975;0,000117725;;;;
89,753002;0,000114255;;;;
90,816987;0,00011733;;;;
91,881984;0,000120316;;;;
92,945985;0,000118153;;;;
94,011982;9,62359E-05;;;;
95,077965;9,28537E-05;;;;
96,142012;9,7487E-05;;;;
97,20797;0,000101915;;;;
98,272965;0,000103553;;;;
99,337014;0,000103202;;;;
100,342967;0,000103553;;;;
101,406985;0,000104992;;;;
102,472978;0,000105983;;;;
103,537967;0,000108997;;;;
104,601997;9,7205E-05;;;;
105,667972;8,88711E-05;;;;
106,733967;9,0598E-05;;;;
107,797978;9,56182E-05;;;;
108,863968;0,000103292;;;;
109,928967;9,53774E-05;;;;
110,99297;9,14442E-05;;;;
112,058969;8,67014E-05;;;;
113,124968;8,90849E-05;;;;
114,188972;8,89826E-05;;;;
115,254966;8,73725E-05;;;;
116,319969;8,55674E-05;;;;
117,383971;8,41061E-05;;;;
118,449967;8,34296E-05;;;;
119,453975;8,42688E-05;;;;
120,459969;8,82405E-05;;;;
121,462972;8,69218E-05;;;;
122,528972;8,10171E-05;;;;
123,594982;7,84303E-05;;;;
124,598974;7,47481E-05;;;;
125,66497;7,59027E-05;;;;
126,728974;7,61605E-05;;;;
127,793974;7,45863E-05;;;;
128,860073;7,48589E-05;;;;
129,923972;7,4714E-05;;;;
130,989971;7,09302E-05;;;;
132,055973;7,14707E-05;;;;
133,119975;7,45268E-05;;;;
134,184976;7,61519E-05;;;;
135,250983;6,94113E-05;;;;
136,314973;7,10547E-05;;;;
137,380987;7,37377E-05;;;;
138,446982;8,26842E-05;;;;
139,509975;8,4097E-05;;;;
140,575978;7,92616E-05;;;;
141,640001;7,46034E-05;;;;
142,705984;7,80381E-05;;;;
143,77198;8,00708E-05;;;;
144,835984;7,84914E-05;;;;
145,900987;7,16874E-05;;;;
146,966995;6,88869E-05;;;;
148,030993;6,92062E-05;;;;
149,09698;6,63748E-05;;;;
150,162973;6,34453E-05;;;;
151,226984;6,31083E-05;;;;
152,291982;6,36653E-05;;;;
153,357972;6,23668E-05;;;;
154,421985;6,12743E-05;;;;
155,487975;6,40275E-05;;;;
156,553973;6,47788E-05;;;;
157,616989;5,93003E-05;;;;
158,682974;5,52074E-05;;;;
159,746991;5,72318E-05;;;;
160,732974;5,8574E-05;;;;
161,798975;6,10354E-05;;;;
162,862986;6,14209E-05;;;;
163,867978;5,97565E-05;;;;
164,931987;5,8348E-05;;;;
165,997979;5,74706E-05;;;;
167,063976;5,84233E-05;;;;
168,127981;5,93307E-05;;;;
169,193975;5,86118E-05;;;;
170,258977;6,03521E-05;;;;
171,322979;6,14132E-05;;;;
172,388975;5,58389E-05;;;;
173,452981;4,85393E-05;;;;
174,519001;4,67504E-05;;;;
175,523977;4,87799E-05;;;;
176,527981;5,07611E-05;;;;
177,514013;5,22391E-05;;;;
178,577981;5,07541E-05;;;;
179,643979;4,95468E-05;;;;
180,709976;4,9526E-05;;;;
181,772983;5,02708E-05;;;;
182,838977;5,26959E-05;;;;
183,842983;5,40131E-05;;;;
184,908976;5,30542E-05;;;;
185,974975;5,10353E-05;;;;
187,038981;5,03337E-05;;;;
188,103978;5,53539E-05;;;;
189,16998;4,87386E-05;;;;
190,233983;4,60456E-05;;;;
191,299978;4,40614E-05;;;;
192,363982;4,27436E-05;;;;
193,428984;4,18783E-05;;;;
194,494982;4,11987E-05;;;;
195,558982;4,11165E-05;;;;
196,544978;4,12999E-05;;;;
197,610985;4,06125E-05;;;;
198,674984;3,91378E-05;;;;
199,739983;3,75453E-05;;;;
200,803983;3,52098E-05;;;;
201,869982;3,52332E-05;;;;
202,936046;3,65259E-05;;;;
203,999981;3,76722E-05;;;;
205,066025;3,786E-05;;;;
206,070989;3,73343E-05;;;;
207,134984;3,62287E-05;;;;
208,200986;3,6389E-05;;;;
209,265016;3,69739E-05;;;;
210,331;3,65735E-05;;;;
211,396034;3,50813E-05;;;;
212,459983;3,36316E-05;;;;
213,526003;3,26671E-05;;;;
214,591998;3,22293E-05;;;;
215,656034;3,20449E-05;;;;
216,722;3,30116E-05;;;;
217,78699;3,3301E-05;;;;
218,850994;3,36259E-05;;;;
219,916985;3,27629E-05;;;;
220,982982;2,9917E-05;;;;
222,046998;3,21677E-05;;;;
223,112982;3,29606E-05;;;;
224,177982;3,20616E-05;;;;
225,241998;3,10542E-05;;;;
226,307986;3,17666E-05;;;;
227,371994;3,19279E-05;;;;
228,438093;3,09773E-05;;;;
229,502983;2,90715E-05;;;;
230,567002;2,88594E-05;;;;
231,632986;2,88488E-05;;;;
232,698983;3,04476E-05;;;;
233,762987;3,07419E-05;;;;
234,829012;3,02901E-05;;;;
235,893983;2,66686E-05;;;;
236,957988;2,5065E-05;;;;
238,023983;2,45399E-05;;;;
239,089981;2,49369E-05;;;;
240,153991;2,35302E-05;;;;
241,219982;2,26401E-05;;;;
242,284984;2,24623E-05;;;;
243,348987;2,30026E-05;;;;
244,414984;2,3765E-05;;;;
245,478993;2,46376E-05;;;;
246,465;2,37314E-05;;;;
247,529983;2,22387E-05;;;;
248,593989;2,23317E-05;;;;
249,659983;2,23876E-05;;;;
250,725999;2,18915E-05;;;;
251,789994;2,14283E-05;;;;
252,855998;2,01612E-05;;;;
253,918991;1,89585E-05;;;;
254,98499;1,93466E-05;;;;
256,050995;2,04321E-05;;;;
257,115038;1,98176E-05;;;;
258,181005;1,95291E-05;;;;
259,246999;1,93033E-05;;;;
260,309987;1,59242E-05;;;;
261,375998;1,43677E-05;;;;
262,441995;1,47625E-05;;;;
263,505999;1,65355E-05;;;;
264,572033;1,71788E-05;;;;
265,637028;1,85319E-05;;;;
266,701;1,76849E-05;;;;
267,767004;1,72156E-05;;;;
268,831044;1,72074E-05;;;;
269,897003;1,77139E-05;;;;
270,962991;1,78677E-05;;;;
272,026003;1,78677E-05;;;;
273,012044;1,67526E-05;;;;
274,077987;1,56345E-05;;;;
275,142003;1,46002E-05;;;;
276,207989;1,47134E-05;;;;
277,272003;1,51628E-05;;;;
278,337044;1,55684E-05;;;;
279,402997;1,54635E-05;;;;
280,467008;1,4941E-05;;;;
281,532994;1,42409E-05;;;;
282,598989;1,39671E-05;;;;
283,66201;1,36777E-05;;;;
284,727994;1,36449E-05;;;;
285,793991;1,37543E-05;;;;
286,857993;1,3623E-05;;;;
287,923992;1,27958E-05;;;;
288,989994;1,2352E-05;;;;
290,052995;1,14914E-05;;;;
291,118991;1,1117E-05;;;;
292,18499;1,10645E-05;;;;
293,248992;1,05334E-05;;;;
294,314992;1,05654E-05;;;;
295,377998;1,08687E-05;;;;
296,443994;1,09664E-05;;;;
297,509992;1,10383E-05;;;;
298,574004;1,04282E-05;;;;
299,639992;9,30199E-06;;;;
