Time [s];Mass² [g²];;;;
0;1,11861E-05;;;;
1,026005;8,39164E-05;;;;
2,071988;0,000124096;;;;
3,116001;7,67982E-05;;;;
4,161988;4,81214E-05;;;;
5,207993;2,19977E-05;;;;
6,251006;6,23791E-06;;;;
7,294999;2,2851E-06;;;;
8,340997;2,70209E-07;;;;
9,381002;1,18957E-11;;;;
10,429028;5,60895E-07;;;;
11,473997;1,90876E-06;;;;
12,517992;3,63782E-06;;;;
13,565999;8,57444E-06;;;;
14,610007;1,19672E-05;;;;
15,656022;1,56267E-05;;;;
16,721992;2,19146E-05;;;;
17,785004;2,79299E-05;;;;
18,830998;3,82917E-05;;;;
19,896991;5,95814E-05;;;;
20,961048;7,34503E-05;;;;
22,027002;9,48105E-05;;;;
23,092992;0,000112408;;;;
24,156006;0,000128235;;;;
25,221994;0,000138441;;;;
26,286001;0,000137919;;;;
27,331997;0,000150713;;;;
28,397989;0,000169534;;;;
29,461002;0,000201027;;;;
30,527039;0,000226237;;;;
31,593006;0,000229211;;;;
32,656994;0,000228302;;;;
33,722992;0,000230615;;;;
34,788992;0,000242604;;;;
35,852001;0,000254818;;;;
36,917992;0,000278401;;;;
37,983993;0,000293666;;;;
39,047999;0,000302479;;;;
40,113991;0,000314839;;;;
41,177994;0,000319684;;;;
42,242998;0,000333287;;;;
43,229012;0,000347724;;;;
44,232996;0,000354426;;;;
45,298991;0,000367041;;;;
46,362998;0,00037444;;;;
47,427994;0,000381298;;;;
48,453999;0,000391838;;;;
49,517995;0,000398203;;;;
50,583994;0,000405869;;;;
51,647994;0,000415274;;;;
52,713999;0,000420592;;;;
53,778991;0,000430144;;;;
54,842999;0,000434036;;;;
55,908999;0,000446817;;;;
56,975005;0,000453654;;;;
58,038999;0,00045744;;;;
59,105016;0,000467612;;;;
60,170002;0,000472762;;;;
61,234028;0,000474843;;;;
62,24;0,000478824;;;;
63,304;0,000484794;;;;
64,370012;0,000488271;;;;
65,435016;0,000493533;;;;
66,499001;0,000498207;;;;
67,565021;0,000507288;;;;
68,63101;0,000503677;;;;
69,695025;0,000500564;;;;
70,761005;0,000497394;;;;
71,826012;0,000513076;;;;
