#	sigma	f	Tlife	Temp	Date/Time	TMeas
1	37,3	12,500	31	58,4	10/25/21 01:52:20 am	00:00:00
2	37,4	10,695	40	58,8	10/25/21 01:52:25 am	00:00:05
3	36,7	9,174	51	59,0	10/25/21 01:52:30 am	00:00:10
4	36,6	7,634	65	59,2	10/25/21 01:52:35 am	00:00:14
5	36,3	6,211	85	59,4	10/25/21 01:52:39 am	00:00:19
6	35,9	5,025	110	59,5	10/25/21 01:52:44 am	00:00:24
7	35,7	3,976	144	59,7	10/25/21 01:52:48 am	00:00:28
8	35,6	3,130	188	59,9	10/25/21 01:52:53 am	00:00:32
9	35,7	2,494	242	60,1	10/25/21 01:52:57 am	00:00:37
10	35,3	1,963	326	60,2	10/25/21 01:53:00 am	00:00:39
11	35,4	1,528	428	60,2	10/25/21 01:53:02 am	00:00:42
12	35,3	1,201	556	60,3	10/25/21 01:53:05 am	00:00:45
13	35,2	0,918	710	60,5	10/25/21 01:53:08 am	00:00:48
14	35,1	0,782	887	60,5	10/25/21 01:53:10 am	00:00:49
15	35,1	0,619	1140	60,6	10/25/21 01:53:11 am	00:00:51
16	35,0	0,437	1666	60,7	10/25/21 01:53:14 am	00:00:53
18	34,9	0,302	2357	60,9	10/25/21 01:53:20 am	00:01:00
17	34,9	0,311	2405	60,8	10/25/21 01:53:17 am	00:00:56
19	34,6	0,216	3649	61,0	10/25/21 01:53:25 am	00:01:04
20	34,6	0,192	3825	61,1	10/25/21 01:53:30 am	00:01:10
21	34,2	0,126	6465	61,3	10/25/21 01:53:38 am	00:01:18
22	34,6	0,107	6774	61,5	10/25/21 01:53:56 am	00:01:35
23	34,1	0,076	9878	61,7	10/25/21 01:54:09 am	00:01:48
24	34,3	0,067	11571	62,0	10/25/21 01:54:24 am	00:02:03
25	32,8	0,034	19965	62,5	10/25/21 01:55:14 am	00:02:54
26	34,1	0,030	24003	62,3	10/25/21 01:56:11 am	00:03:50
27	33,2	0,030	29206	61,3	10/25/21 01:58:07 am	00:05:47
28	34,1	0,021	35234	60,8	10/25/21 01:58:54 am	00:06:33
29	34,5	0,016	44488	60,0	10/25/21 01:59:55 am	00:07:35
30	34,6	0,012	60971	57,4	10/25/21 02:02:38 am	00:10:17
